Model,Accuracy,Precision,Recall,F1,ROC_AUC
CatBoost,0.829,0.5933503836,0.5590361446,0.5756823821,0.8305682034
XGBoost,0.827,0.5877862595,0.556626506,0.5717821782,0.8159917905
LightGBM,0.817,0.555808656,0.5879518072,0.5714285714,0.8311884763
GradientBoosting,0.8155,0.5537383178,0.5710843373,0.5622775801,0.8253262894
RandomForest_8,0.793,0.5009633911,0.6265060241,0.556745182,0.829621071
AdaBoost,0.753,0.4402420575,0.7012048193,0.5408921933,0.8134111208
RandomForest_4,0.771,0.462478185,0.6385542169,0.536437247,0.8115373798
ExtraTrees,0.768,0.4569420035,0.6265060241,0.5284552846,0.8170620653
LogisticRegression,0.696,0.3642756681,0.6240963855,0.460035524,0.7282459808
SVC,0.4565,0.243902439,0.7710843373,0.3705848292,0.5921082437
KNN,0.5815,0.2329113924,0.443373494,0.3053941909,0.536708601
MLP,0.7385,0.2692307692,0.1518072289,0.1941448382,0.4860172551
